,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
2351,2020-02-03,Brazil,0,0,0.0,0.0,0,0,0
2411,2020-02-03,Israel,0,0,0.0,0.0,0,0,0
2412,2020-02-03,Italy,2,0,0.0,2.0,0,0,0
2452,2020-02-03,New Zealand,0,0,0.0,0.0,0,0,0
2488,2020-02-03,South Africa,0,0,0.0,0.0,0,0,0
2508,2020-02-03,US,11,0,0.0,11.0,3,0,0
2512,2020-02-03,United Kingdom,8,0,0.0,8.0,6,0,0
2530,2020-02-04,Australia,13,0,2.0,11.0,1,0,0
2545,2020-02-04,Brazil,0,0,0.0,0.0,0,0,0
2605,2020-02-04,Israel,0,0,0.0,0.0,0,0,0
2606,2020-02-04,Italy,2,0,0.0,2.0,0,0,0
2646,2020-02-04,New Zealand,0,0,0.0,0.0,0,0,0
2682,2020-02-04,South Africa,0,0,0.0,0.0,0,0,0
2702,2020-02-04,US,11,0,0.0,11.0,0,0,0
2706,2020-02-04,United Kingdom,8,0,0.0,8.0,0,0,0
2724,2020-02-05,Australia,13,0,2.0,11.0,0,0,0
2739,2020-02-05,Brazil,0,0,0.0,0.0,0,0,0
