Country,Population,Cases,Deaths,Case/Fatality Ratio,Deaths/100k,people_fully_vaccinated_per_hundred,people_not_vaccinated_per_hundred
Australia,25940997,368596,2233,0.6,8.8,76.43,23.57
US,331002651,54264831,824301,1.5,251.13,61.46,38.54
UK,68417926,12820359,148893,1.2,222.78,69.38,30.62
NZ,4880644,14120,51,0.4,1.04,75.08,24.92
Italy,60329171,5981428,137247,2.3,227.62,74.01,25.99
Israel,8857273,1380046,8243,0.6,91.05,63.55,36.45
Brazil,214812911,22281649,619249,2.8,293.41,66.96,33.04
South Africa,60423455,3446532,91061,2.6,155.5,26.32,73.68
